Source Name	Material Type	Characteristics[organism]	Characteristics[genotype]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[strain]	Characteristics[phenotype]	Characteristics[organism part]	Comment[gut]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[phenotype]
OnyD2	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R2	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.11	P-MTAB-32292	Labeled Extract.11.biotin	biotin	P-AFFY-3	ArrayExpress	assay.11	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyD2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R2
OnyE2	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R3	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.12	P-MTAB-32292	Labeled Extract.12.biotin	biotin	P-AFFY-3	ArrayExpress	assay.12	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyE2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R3
OnyF2	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R4	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.13	P-MTAB-32292	Labeled Extract.13.biotin	biotin	P-AFFY-3	ArrayExpress	assay.13	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyF2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R4
OnyG2	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R5	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.14	P-MTAB-32292	Labeled Extract.14.biotin	biotin	P-AFFY-3	ArrayExpress	assay.14	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyG2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R5
OnyH2	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	Hindgut	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.15	P-MTAB-32292	Labeled Extract.15.biotin	biotin	P-AFFY-3	ArrayExpress	assay.15	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyH2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	Hindgut
OnyT2	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	whole gut	gut	whole gut	P-MTAB-32290	P-MTAB-32291	Extract.16	P-MTAB-32292	Labeled Extract.16.biotin	biotin	P-AFFY-3	ArrayExpress	assay.16	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyT2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	whole gut
OnyB3	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	Crop	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.17	P-MTAB-32292	Labeled Extract.17.biotin	biotin	P-AFFY-3	ArrayExpress	assay.17	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyB3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	Crop
OnyC3	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	proventriculus/R1	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.18	P-MTAB-32292	Labeled Extract.18.biotin	biotin	P-AFFY-3	ArrayExpress	assay.18	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyC3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	proventriculus/R1
OnyD3	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R2	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.19	P-MTAB-32292	Labeled Extract.19.biotin	biotin	P-AFFY-3	ArrayExpress	assay.19	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyD3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R2
OnyE3	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R3	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.20	P-MTAB-32292	Labeled Extract.20.biotin	biotin	P-AFFY-3	ArrayExpress	assay.20	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyE3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R3
OnyF3	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R4	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.21	P-MTAB-32292	Labeled Extract.21.biotin	biotin	P-AFFY-3	ArrayExpress	assay.21	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyF3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R4
OnyG3	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R5	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.22	P-MTAB-32292	Labeled Extract.22.biotin	biotin	P-AFFY-3	ArrayExpress	assay.22	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyG3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R5
OnyH3	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	Hindgut	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.23	P-MTAB-32292	Labeled Extract.23.biotin	biotin	P-AFFY-3	ArrayExpress	assay.23	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyH3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	Hindgut
OnyT3	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	whole gut	gut	whole gut	P-MTAB-32290	P-MTAB-32291	Extract.24	P-MTAB-32292	Labeled Extract.24.biotin	biotin	P-AFFY-3	ArrayExpress	assay.24	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyT3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	whole gut
